"","dates","loss 2006-02-15","gdpZScore.x","employZScore.x","loss 2006-05-15","gdpZScore.y","employZScore.y","loss 2006-08-15","gdpZScore.x","employZScore.x","loss 2006-11-15","gdpZScore.y","employZScore.y","loss 2007-02-15","gdpZScore.x","employZScore.x","loss 2007-05-15","gdpZScore.y","employZScore.y","loss 2007-08-15","gdpZScore.x","employZScore.x","loss 2007-11-15","gdpZScore.y","employZScore.y","loss 2008-02-15","gdpZScore.x","employZScore.x","loss 2008-05-15","gdpZScore.y","employZScore.y","loss 2008-08-15","gdpZScore.x","employZScore.x","loss 2008-11-15","gdpZScore.y","employZScore.y","loss 2009-02-15","gdpZScore.x","employZScore.x","loss 2009-05-15","gdpZScore.y","employZScore.y","loss 2009-08-15","gdpZScore.x","employZScore.x","loss 2009-11-15","gdpZScore.y","employZScore.y","loss 2010-02-15","gdpZScore.x","employZScore.x","loss 2010-05-15","gdpZScore.y","employZScore.y","loss 2010-08-15","gdpZScore","employZScore"
"11",1976-11-15,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953,NA,NA,0.24387690268953
"12",1976-12-15,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912,NA,NA,0.304846128361912
"13",1977-01-15,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294,NA,NA,0.365815354034294
"14",1977-02-15,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441
"15",1977-03-15,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059
"16",1977-04-15,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441,NA,NA,0.548723031051441
"17",1977-05-15,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059
"18",1977-06-15,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059,NA,NA,0.487753805379059
"19",1977-07-15,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206,NA,NA,0.670661482396206
"20",1977-08-15,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588,NA,NA,0.731630708068588
